iter	AUC	Logloss
0	0.6147976816	0.6917513831
1	0.6352480352	0.6901708251
2	0.635826081	0.6888169224
3	0.642246604	0.6873780051
4	0.6438944042	0.6863597894
5	0.6461663246	0.6852112884
6	0.6475053728	0.6840251036
7	0.6485057473	0.6827798307
8	0.6502815187	0.6818852681
9	0.6510774791	0.6807798271
10	0.6523610651	0.6796615736
11	0.6531713605	0.6787076716
12	0.654453367	0.6778214999
13	0.6542732418	0.6771405289
14	0.6554591358	0.6763481647
15	0.6567193568	0.6754453619
16	0.6577714682	0.6745764746
17	0.6582663953	0.6738120466
18	0.6587032676	0.6730744997
19	0.6593355238	0.672324894
20	0.6598584056	0.6716874855
21	0.6607257426	0.6710624875
22	0.6607118249	0.6705027076
23	0.6615412235	0.6697960112
24	0.6619261205	0.6691862877
25	0.6629642546	0.6684742653
26	0.6632627249	0.6678844388
27	0.6641474664	0.6674186171
28	0.6643003821	0.6669181263
29	0.6651712358	0.6664447176
30	0.6658483148	0.6659012171
31	0.665922612	0.6653145058
32	0.6662047505	0.6648635566
33	0.6661300361	0.6644489346
34	0.6669450104	0.664026625
35	0.6678382158	0.6634354922
36	0.6686129272	0.6629224904
37	0.6691309512	0.6624832986
38	0.6700254977	0.661995972
39	0.6706029177	0.6615782347
40	0.6716906428	0.6610575957
41	0.6724644899	0.6606800042
42	0.6733139455	0.6602372952
43	0.6742011011	0.6597682578
44	0.6744715571	0.6593655439
45	0.675091058	0.6589402699
46	0.6758131087	0.6585174077
47	0.6760023236	0.6581327317
48	0.6763506234	0.6576645485
49	0.6767607927	0.6573462964
50	0.6774058342	0.6568724355
51	0.6780714989	0.65647761
52	0.6784758866	0.6561361448
53	0.6789304912	0.6557508658
54	0.679610312	0.6553587033
55	0.680606842	0.6549732737
56	0.6813524961	0.6546249248
57	0.6813583076	0.654276375
58	0.6817655563	0.6539592284
59	0.6825529635	0.6536098746
60	0.6826990545	0.6532679069
61	0.6826969981	0.6530176867
62	0.6832644045	0.6526706944
63	0.6834731102	0.6523442022
64	0.6836175621	0.6520861437
65	0.6839956343	0.6518007017
66	0.6842956245	0.6514573271
67	0.6845624447	0.6511503299
68	0.6846672297	0.6509586451
69	0.6849428117	0.6507583182
70	0.6851525903	0.6505058369
71	0.6853852272	0.6502297906
72	0.6859269738	0.6499623866
73	0.6861633658	0.6496556406
74	0.6867112219	0.649365978
75	0.6869869828	0.6491249526
76	0.6876010895	0.6488161466
77	0.688108623	0.6484777965
78	0.6885864735	0.6482044133
79	0.6890096068	0.6479036967
80	0.6892559528	0.6477012093
81	0.6899012327	0.6473570308
82	0.6903863251	0.6471589648
83	0.690823257	0.6468953794
84	0.690916419	0.6466340047
85	0.690993309	0.6464328738
86	0.691326499	0.6462146597
87	0.6915647388	0.6460572922
88	0.691942811	0.6457300463
89	0.6923280358	0.6455057022
90	0.6925517321	0.6453577306
91	0.6931502223	0.6450687211
92	0.6933928728	0.644916127
93	0.6937819123	0.6446833417
94	0.6940246224	0.644487788
95	0.6940625906	0.6443673507
96	0.6944486499	0.644126275
97	0.694994092	0.6438799236
98	0.695261538	0.6436142279
99	0.6956246197	0.6433658164
100	0.6958838105	0.64320252
101	0.6962077022	0.6429934505
102	0.6967636943	0.6427283577
103	0.6969640553	0.6424800467
104	0.6972272694	0.6422792675
105	0.697480917	0.6420828094
106	0.6977500319	0.6419482532
107	0.6979781687	0.6417779226
108	0.6982404888	0.641568853
109	0.6982879341	0.641386363
110	0.6986685991	0.64121146
111	0.6991677582	0.6409723439
112	0.69957757	0.6407721175
113	0.7000092268	0.6405064217
114	0.7004126906	0.6402924784
115	0.7008587718	0.6400826048
116	0.7009989023	0.6399385523
117	0.7012035847	0.6397942486
118	0.7012780905	0.6396330123
119	0.7017832696	0.6393919868
120	0.702056706	0.6392433118
121	0.7022532225	0.6390954406
122	0.7024082541	0.6389134029
123	0.7029619813	0.6386452954
124	0.703194201	0.6384409488
125	0.7033657432	0.6383215666
126	0.7037504017	0.6381264149
127	0.7040349245	0.6379366896
128	0.7041071057	0.6378099717
129	0.7043968439	0.637609092
130	0.7046132088	0.6374262001
131	0.7047476172	0.6373161132
132	0.7050506473	0.637123122
133	0.7051636875	0.6369999212
134	0.7052630186	0.6368894826
135	0.7053985596	0.6367445759
136	0.7057385445	0.6365494242
137	0.7056991756	0.6364443619
138	0.7059398293	0.6362444369
139	0.706277132	0.6360451651
140	0.7065234184	0.6358782008
141	0.7067292929	0.6356768187
142	0.7070529461	0.6354667442
143	0.7070584297	0.6353730372
144	0.7071650028	0.6352335068
145	0.70728755	0.6351311074
146	0.7075634897	0.6349471101
147	0.7079649568	0.634747989
148	0.7084112763	0.6344865138
149	0.7085577846	0.6343814012
150	0.7086334229	0.6342965876
151	0.7088825703	0.6341324873
152	0.7093066573	0.6339240207
153	0.7094121873	0.6338021262
154	0.7096283138	0.6336663641
155	0.7098118067	0.633525477
156	0.7099492252	0.6333941365
157	0.7101385593	0.6332521943
158	0.7102927864	0.6331246222
159	0.7105828524	0.6329510758
160	0.7109532356	0.6327699927
161	0.71111691	0.6326639254
162	0.7115187645	0.6324609857
163	0.7117623091	0.6322652311
164	0.7118399143	0.6321798648
165	0.7121170163	0.6319861199
166	0.7122552395	0.6318839718
167	0.7125842571	0.6317090688
168	0.712780416	0.6315738092
169	0.7129445672	0.6314374441
170	0.7133579254	0.6312102361
171	0.7136155963	0.6310675904
172	0.7138468027	0.6309151972
173	0.7143542171	0.6306385481
174	0.7144165635	0.6305394146
175	0.7146930695	0.6304123449
176	0.7148070931	0.6303266269
177	0.714841485	0.6302549775
178	0.7151498497	0.6300976603
179	0.7152663469	0.6299594362
180	0.7155421376	0.6297399156
181	0.715775013	0.6296273165
182	0.7159645557	0.6294840177
183	0.7161549926	0.6293157973
184	0.7161750197	0.6292777115
185	0.7164292932	0.6290668834
186	0.7166737914	0.6289141385
187	0.7169982195	0.6287384316
188	0.7171655893	0.6286076438
189	0.7172630429	0.6285370495
190	0.7174503803	0.6283944038
191	0.7175761461	0.6282588427
192	0.7175964713	0.6282036234
193	0.7177676558	0.6280500244
194	0.7179243565	0.6279504387
195	0.7182230055	0.6277695566
196	0.7185477912	0.6275603362
197	0.7188367844	0.6273780473
198	0.7188930511	0.627256605
199	0.7192603946	0.6270501482
200	0.7191998959	0.62699106
201	0.719345212	0.6268780589
202	0.7194125056	0.6268344965
203	0.7194147706	0.6267977171
204	0.7195961475	0.626654569
205	0.7197901011	0.6265265447
206	0.7202472091	0.6262657729
207	0.7203523517	0.6261706591
208	0.7204066515	0.6260556984
209	0.7206752896	0.6258826545
210	0.7207805216	0.6257741755
211	0.720977366	0.6256506732
212	0.7211499214	0.6255464148
213	0.7213512659	0.6254376845
214	0.7214978337	0.6253558353
215	0.7215131521	0.625286045
216	0.7217484713	0.6251406861
217	0.7218663096	0.6250363272
218	0.7220219374	0.6249129756
219	0.7221679389	0.6247967588
220	0.7221704125	0.6247584721
221	0.7222591043	0.624681346
222	0.7223407626	0.6245576427
223	0.7225316167	0.6244268549
224	0.7226740122	0.6243357606
225	0.7229503393	0.624173017
226	0.7232080698	0.6240152978
227	0.7234475613	0.6238514487
228	0.7237032652	0.623709607
229	0.7237119079	0.6236703154
230	0.7238838673	0.6235635447
231	0.7243962288	0.6232994065
232	0.7245963216	0.6231979618
233	0.7247961164	0.623066772
234	0.7248240709	0.6230324044
235	0.7250463963	0.6228647367
236	0.7253024578	0.6227187247
237	0.7253800631	0.6226241133
238	0.7254895568	0.6225453291
239	0.7258649468	0.6223375658
240	0.7261129022	0.6222057229
241	0.7265312672	0.6219420872
242	0.7266607285	0.6218316486
243	0.726835072	0.6217099551
244	0.7271027565	0.6215387703
245	0.7272410393	0.6214413452
246	0.7274205089	0.6213152804
247	0.7276390195	0.6211828847
248	0.7280077338	0.620979744
249	0.7280110717	0.6209363826
250	0.7280379534	0.6208888005
251	0.7280167937	0.6208776963
252	0.7280330062	0.6208499108
253	0.7281338573	0.6207715286
254	0.7284283042	0.6205994393
255	0.7285645604	0.6205109578
256	0.7288611531	0.6203374115
257	0.7292008102	0.6201013101
258	0.7293596268	0.6199937354
259	0.7295321822	0.6198935971
260	0.7296433449	0.6198030053
261	0.7296611667	0.6197520066
262	0.7297118306	0.6196890496
263	0.7297065854	0.6196849295
264	0.7297218442	0.6196345337
265	0.7298545837	0.6195589652
266	0.7299715877	0.6194486271
267	0.7299815416	0.6194316945
268	0.730145216	0.6193134679
269	0.7303068936	0.619203381
270	0.7304899693	0.6190843003
271	0.7305946946	0.6190151129
272	0.7309868932	0.6187996622
273	0.731300354	0.6185928536
274	0.7313324809	0.618531002
275	0.7313520312	0.6184907055
276	0.7314196825	0.6184356872
277	0.7315268219	0.6183493159
278	0.7316744328	0.6182489264
279	0.7318180799	0.6181532096
280	0.7318479419	0.6180840724
281	0.7320834994	0.6179425321
282	0.7321721315	0.6178408864
283	0.7321741879	0.6178397308
284	0.732183516	0.6177639613
285	0.7324553132	0.6176016196
286	0.7326546907	0.6174605818
287	0.7327240109	0.6173870733
288	0.7327485681	0.6173493895
289	0.7330291271	0.617187098
290	0.7332430482	0.6170435982
291	0.7335220575	0.61689633
292	0.7335684299	0.6168420151
293	0.7335737348	0.6167920213
294	0.733677268	0.6166792212
295	0.7338504791	0.6165624518
296	0.7341273725	0.6163937792
297	0.7342236638	0.6163112768
298	0.7342532277	0.6162921837
299	0.7342574596	0.6162901237
300	0.7342576385	0.6162894202
301	0.7344287038	0.6161789314
302	0.7346508503	0.6160078471
303	0.734746933	0.615935645
304	0.7350882888	0.6157400913
305	0.7350886464	0.6157400913
306	0.7351022959	0.615725269
307	0.7352246642	0.6156537703
308	0.7353224158	0.6155705645
309	0.7354615927	0.6154503784
310	0.7356022596	0.615373805
311	0.7356728911	0.6153122548
312	0.7357549071	0.6152556286
313	0.735758543	0.6152531666
314	0.7357603908	0.6152515588
315	0.7358877063	0.6151641827
316	0.7358896732	0.615161369
317	0.7358953357	0.6151536312
318	0.7361232638	0.6150003336
319	0.7362725735	0.6148995421
320	0.7364404202	0.6148050312
321	0.7364482284	0.6147954344
322	0.7367583513	0.6146302287
323	0.7367609739	0.6146271135
324	0.7368382812	0.6145509923
325	0.7370225787	0.6144071407
326	0.7371460199	0.6143193124
327	0.7371589541	0.6143029325
328	0.7372819781	0.6141855099
329	0.7373847961	0.6141044144
330	0.7374800444	0.6140201535
331	0.7374815345	0.6140189476
332	0.737487793	0.6139998042
333	0.737693131	0.6138620324
334	0.7379277945	0.6137258683
335	0.7380264997	0.6136511037
336	0.7381178737	0.613574681
337	0.7384667397	0.6133376249
338	0.7385706306	0.6132513542
339	0.7385709286	0.613250701
340	0.738599062	0.6132016619
341	0.7386350334	0.6131680479
342	0.7386353016	0.6131664903
343	0.7388728261	0.6130294219
344	0.7389497757	0.6129653092
345	0.7392207384	0.6128114589
346	0.7392225266	0.6128103033
347	0.7392225266	0.6128103033
348	0.7392255664	0.6128067359
349	0.7392107844	0.6127898536
350	0.7392661273	0.6127287054
351	0.7394536138	0.6126196736
