iter	Passed	Remaining
0	132	132293
1	259	129270
2	389	129597
3	517	128891
4	647	128794
5	774	128368
6	900	127797
7	1029	127704
8	1156	127315
9	1296	128382
10	1441	129560
11	1586	130592
12	1730	131348
13	1864	131327
14	1991	130803
15	2123	130576
16	2247	129962
17	2376	129656
18	2505	129345
19	2635	129137
20	2759	128655
21	2889	128440
22	3015	128086
23	3142	127797
24	3268	127478
25	3395	127191
26	3522	126925
27	3650	126709
28	3783	126668
29	3920	126778
30	4055	126764
31	4188	126700
32	4316	126473
33	4442	126207
34	4567	125940
35	4698	125826
36	4824	125571
37	4949	125299
38	5076	125080
39	5203	124895
40	5333	124741
41	5461	124579
42	5589	124398
43	5727	124433
44	5857	124314
45	5985	124129
46	6114	123978
47	6249	123943
48	6387	123965
49	6523	123952
50	6661	123957
51	6788	123760
52	6912	123511
53	7037	123288
54	7163	123087
55	7289	122871
56	7414	122672
57	7549	122617
58	7675	122424
59	7802	122243
60	7926	122020
61	8046	121738
62	8171	121528
63	8295	121328
64	8417	121089
65	8540	120856
66	8668	120717
67	8801	120629
68	8933	120534
69	9066	120454
70	9194	120304
71	9319	120112
72	9451	120019
73	9591	120019
74	9716	119839
75	9839	119627
76	9965	119457
77	10092	119294
78	10216	119107
79	10341	118932
80	10472	118818
81	10609	118771
82	10729	118544
83	10868	118519
84	11004	118457
85	11123	118223
86	11257	118142
87	11390	118050
88	11528	118000
89	11664	117942
90	11787	117742
91	11913	117584
92	12033	117361
93	12157	117175
94	12282	117008
95	12402	116791
96	12526	116615
97	12650	116432
98	12788	116388
99	12938	116447
100	13085	116477
101	13224	116431
102	13370	116436
103	13512	116415
104	13656	116407
105	13775	116184
106	13910	116090
107	14041	115974
108	14157	115731
109	14292	115636
110	14426	115545
111	14547	115339
112	14682	115248
113	14819	115178
114	14958	115118
115	15089	114994
116	15203	114738
117	15330	114588
118	15467	114513
119	15598	114387
120	15711	114132
121	15824	113883
122	15937	113635
123	16062	113472
124	16180	113266
125	16294	113027
126	16410	112805
127	16537	112660
128	16674	112582
129	16797	112411
130	16925	112278
131	17048	112105
132	17192	112074
133	17305	111840
134	17432	111696
135	17572	111638
136	17688	111426
137	17801	111194
138	17916	110976
139	18029	110753
140	18144	110537
141	18258	110322
142	18374	110118
143	18507	110017
144	18645	109942
145	18759	109730
146	18873	109517
147	18989	109320
148	19108	109138
149	19222	108925
150	19333	108702
151	19447	108494
152	19562	108296
153	19674	108084
154	19788	107878
155	19901	107673
156	20014	107465
157	20125	107250
158	20241	107062
159	20358	106882
160	20473	106693
161	20586	106493
162	20704	106315
163	20818	106125
164	20929	105918
165	21043	105726
166	21155	105522
167	21270	105338
168	21384	105149
169	21497	104956
170	21613	104781
171	21726	104588
172	21839	104400
173	21957	104233
174	22068	104036
175	22182	103852
176	22293	103658
177	22404	103463
178	22517	103276
179	22629	103088
180	22746	102923
181	22858	102739
182	22972	102559
183	23085	102380
184	23195	102186
185	23311	102020
186	23426	101847
187	23541	101679
188	23654	101500
189	23767	101324
190	23879	101144
191	23992	100968
192	24103	100783
193	24215	100606
194	24336	100465
195	24481	100424
196	24600	100273
197	24713	100102
198	24835	99967
199	24979	99918
200	25095	99757
201	25211	99598
202	25328	99440
203	25459	99342
204	25593	99251
205	25710	99097
206	25845	99013
207	25967	98876
208	26080	98706
209	26195	98544
210	26310	98383
211	26425	98224
212	26547	98089
213	26668	97951
214	26783	97789
215	26895	97619
216	27007	97451
217	27118	97278
218	27230	97111
219	27345	96953
220	27455	96778
221	27565	96605
222	27679	96444
223	27793	96284
